Experiment_ID	Genus	Species	Cultivar	Start	End	Treatments_summary	Objectives	Conclusions	Seeds
E.Pe.14	Euphorbia	peplus		24/01/19					E.pep-000.007
E.Pe.13	Euphorbia	peplus		24/01/19					E.pep-000.007
E.Pe.12	Euphorbia	peplus		26/09/18					E.pep-000.008
E.Pe.11	Euphorbia	peplus		27/07/18					E.pep-000.007
E.St.1	Euphorbia	stricta	Golden Foam	22/05/18					E.str-000.001
E.Ma.1	Euphorbia	marginata		22/05/18					E.mar-000.001
E.Pe.10	Euphorbia	peplus		15/03/18					E.pep-000.006
E.Pe.9	Euphorbia	peplus		15/03/18					E.pep-000.006
E.Pe.8	Euphorbia	peplus		15/03/18					E.pep-000.006
E.my.1	Euphorbia	myrsinites		27/11/17					E.myr-000.001
E.Hi.4	Euphorbia	hirta		31/07/17					E.hi-000.001
E.Pe.4	Euphorbia	peplus		31/07/17					E.pe-000.001
E.He.2	Euphorbia	helioscopia		24/04/17					E.he-000.001
E.Hi.2	Euphorbia	hirta		24/04/17					E.hi-000.001
J.Cu.2	Jatropha	curcas		26/04/17					J.cur-000.001
J.Cu.1	Jatropha	curcas		05/04/17					J.cur-000.001
E.He.1	Euphorbia	helioscopia		05/04/17					E.he-000.001
E.Hi.1	Euphorbia	hirta		05/04/17					E.hi-000.001
E.Pe.1	Euphorbia	peplus		05/04/17					E.pe-000.001
E.La.2	Euphorbia	lathyris		24/03/17					E.la-000.002
E.Ti.1	Euphorbia	tirucalli		21/03/17					E.ti-000.001
E.La.1	Euphorbia	lathyris		21/03/17					E.la-000.001
